ENSEMBL	ENTREZID	SYMBOL	GENENAME
ENSG00000196569	3908	LAMA2	laminin subunit alpha 2
ENSG00000099622	1153	CIRBP	cold inducible RNA binding protein
ENSG00000204022	142910	LIPJ	lipase family member J
ENSG00000171160	118812	MORN4	MORN repeat containing 4
ENSG00000261934	56107	PCDHGA9	protocadherin gamma subfamily A, 9
ENSG00000290600	155060	LOC155060	AI894139 pseudogene
ENSG00000131435	8572	PDLIM4	PDZ and LIM domain 4
ENSG00000223878	NA	NA	NA
ENSG00000258748	NA	NA	NA
ENSG00000260947	NA	NA	NA
ENSG00000259446	101928134	RYR3-DT	RYR3 divergent transcript
ENSG00000290549	NA	NA	NA
ENSG00000255389	NA	NA	NA
ENSG00000144460	57624	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2
ENSG00000150628	132851	SPATA4	spermatogenesis associated 4
ENSG00000241218	649024	CSP2	CS pseudogene 2
ENSG00000280623	124900476	LOC124900476	endogenous retrovirus group K member 5 Gag polyprotein-like
ENSG00000150893	341640	FREM2	FRAS1 related extracellular matrix 2
ENSG00000004799	5166	PDK4	pyruvate dehydrogenase kinase 4
ENSG00000270171	NA	NA	NA
ENSG00000151468	83643	CCDC3	coiled-coil domain containing 3
ENSG00000183960	131096	KCNH8	potassium voltage-gated channel subfamily H member 8
ENSG00000243710	149465	CFAP57	cilia and flagella associated protein 57
ENSG00000290615	100131320	RAB6C-AS1	RAB6C antisense RNA 1
ENSG00000267023	NA	NA	NA
ENSG00000181619	64582	GPR135	G protein-coupled receptor 135
ENSG00000173421	339834	IHO1	interactor of HORMAD1 1
ENSG00000222020	101928111	HDAC4-AS1	HDAC4 antisense RNA 1
ENSG00000237233	NA	NA	NA
ENSG00000259347	NA	NA	NA
ENSG00000183134	11251	PTGDR2	prostaglandin D2 receptor 2
ENSG00000226887	100288413	ERVMER34-1	endogenous retrovirus group MER34 member 1, envelope
ENSG00000182732	9628	RGS6	regulator of G protein signaling 6
ENSG00000198774	9182	RASSF9	Ras association domain family member 9
ENSG00000259725	NA	NA	NA
ENSG00000253893	NA	NA	NA
ENSG00000283247	114515518	CCDC201	coiled-coil domain containing 201
ENSG00000245468	NA	NA	NA
ENSG00000211445	2878	GPX3	glutathione peroxidase 3
ENSG00000258604	NA	NA	NA
ENSG00000224536	107985246	CSRP1-AS1	CSRP1 antisense RNA 1
ENSG00000204860	NA	NA	NA
ENSG00000245498	100507283	MSANTD2-AS1	MSANTD2 antisense RNA 1
ENSG00000091704	1357	CPA1	carboxypeptidase A1
ENSG00000283378	79937	CNTNAP3	contactin associated protein family member 3
ENSG00000283378	100289279	CNTNAP3C	contactin associated protein family member 3C
ENSG00000273156	NA	NA	NA
ENSG00000181031	9501	RPH3AL	rabphilin 3A like (without C2 domains)
ENSG00000188573	345630	FBLL1	fibrillarin like 1
ENSG00000230074	NA	NA	NA
ENSG00000131746	84951	TNS4	tensin 4
ENSG00000205090	339453	TMEM240	transmembrane protein 240
ENSG00000260329	NA	NA	NA
ENSG00000287315	101927401	LOC101927401	uncharacterized LOC101927401
ENSG00000130943	10343	PKDREJ	polycystin family receptor for egg jelly
ENSG00000133142	79921	TCEAL4	transcription elongation factor A like 4
ENSG00000172935	116535	MRGPRF	MAS related GPR family member F
ENSG00000158125	7498	XDH	xanthine dehydrogenase
ENSG00000254349	441355	MIR2052HG	MIR2052 host gene
ENSG00000286747	NA	NA	NA
ENSG00000178053	4291	MLF1	myeloid leukemia factor 1
ENSG00000196104	50859	SPOCK3	SPARC (osteonectin), cwcv and kazal like domains proteoglycan 3
ENSG00000250049	NA	NA	NA
ENSG00000290021	NA	NA	NA
ENSG00000277654	440311	LOC440311	NOP53 ribosome biogenesis factor pseudogene
ENSG00000206384	131873	COL6A6	collagen type VI alpha 6 chain
ENSG00000166448	222865	TMEM130	transmembrane protein 130
ENSG00000169435	166824	RASSF6	Ras association domain family member 6
ENSG00000232859	201229	LYRM9	LYR motif containing 9
ENSG00000132837	29958	DMGDH	dimethylglycine dehydrogenase
ENSG00000224418	NA	NA	NA
ENSG00000259920	NA	NA	NA
ENSG00000253266	NA	NA	NA
ENSG00000143867	130497	OSR1	odd-skipped related transcription factor 1
ENSG00000113916	604	BCL6	BCL6 transcription repressor
ENSG00000271755	NA	NA	NA
ENSG00000234418	NA	NA	NA
ENSG00000184349	1946	EFNA5	ephrin A5
ENSG00000279026	NA	NA	NA
ENSG00000070731	10610	ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2
ENSG00000241399	9936	CD302	CD302 molecule
ENSG00000237928	100996570	NFIA-AS2	NFIA antisense RNA 2
ENSG00000231246	105378909	LINC02884	long intergenic non-protein coding RNA 2884
ENSG00000230629	653658	RPS23P8	ribosomal protein S23 pseudogene 8
ENSG00000163491	152110	NEK10	NIMA related kinase 10
ENSG00000258057	100286844	BCDIN3D-AS1	BCDIN3D antisense RNA 1
ENSG00000260855	NA	NA	NA
ENSG00000091656	79776	ZFHX4	zinc finger homeobox 4
ENSG00000134253	80263	TRIM45	tripartite motif containing 45
ENSG00000141338	10351	ABCA8	ATP binding cassette subfamily A member 8
ENSG00000115380	2202	EFEMP1	EGF containing fibulin extracellular matrix protein 1
ENSG00000232721	NA	NA	NA
ENSG00000290476	NA	NA	NA
ENSG00000188277	643338	C15orf62	chromosome 15 open reading frame 62
ENSG00000272482	NA	NA	NA
ENSG00000182771	2894	GRID1	glutamate ionotropic receptor delta type subunit 1
ENSG00000250602	NA	NA	NA
ENSG00000261379	NA	NA	NA
ENSG00000128652	3232	HOXD3	homeobox D3
ENSG00000273355	NA	NA	NA
ENSG00000101230	140862	ISM1	isthmin 1
ENSG00000286705	NA	NA	NA
ENSG00000288079	NA	NA	NA
ENSG00000144366	51454	GULP1	GULP PTB domain containing engulfment adaptor 1
ENSG00000232645	100505683	LINC01431	long intergenic non-protein coding RNA 1431
ENSG00000250934	NA	NA	NA
ENSG00000166510	80323	CCDC68	coiled-coil domain containing 68
ENSG00000279759	NA	NA	NA
ENSG00000229436	NA	NA	NA
ENSG00000141424	25800	SLC39A6	solute carrier family 39 member 6
ENSG00000278683	NA	NA	NA
ENSG00000166482	4239	MFAP4	microfibril associated protein 4
ENSG00000254040	NA	NA	NA
ENSG00000126218	2159	F10	coagulation factor X
ENSG00000162878	91461	PKDCC	protein kinase domain containing, cytoplasmic
ENSG00000289440	NA	NA	NA
ENSG00000103184	9717	SEC14L5	SEC14 like lipid binding 5
ENSG00000184160	152	ADRA2C	adrenoceptor alpha 2C
ENSG00000187151	253935	ANGPTL5	angiopoietin like 5
ENSG00000189134	222698	NKAPL	NFKB activating protein like
ENSG00000187260	349136	WDR86	WD repeat domain 86
ENSG00000197580	83875	BCO2	beta-carotene oxygenase 2
ENSG00000267365	400617	KCNJ2-AS1	KCNJ2 antisense RNA 1
ENSG00000237214	267009	RPS9P2	ribosomal protein S9 pseudogene 2
ENSG00000165092	216	ALDH1A1	aldehyde dehydrogenase 1 family member A1
ENSG00000114670	79858	NEK11	NIMA related kinase 11
ENSG00000214290	120376	POU2AF3	POU class 2 homeobox associating factor 3
ENSG00000076706	4162	MCAM	melanoma cell adhesion molecule
ENSG00000152154	130733	TMEM178A	transmembrane protein 178A
ENSG00000261390	102467146	MAFTRR	MAF transcriptional regulator RNA
ENSG00000079102	862	RUNX1T1	RUNX1 partner transcriptional co-repressor 1
ENSG00000284968	NA	NA	NA
ENSG00000279348	NA	NA	NA
ENSG00000124615	4337	MOCS1	molybdenum cofactor synthesis 1
ENSG00000279833	NA	NA	NA
ENSG00000162572	6339	SCNN1D	sodium channel epithelial 1 subunit delta
ENSG00000218631	100420839	LOC100420839	chromosome 18 open reading frame 21 pseudogene
ENSG00000258768	NA	NA	NA
ENSG00000270055	NA	NA	NA
ENSG00000184905	140597	TCEAL2	transcription elongation factor A like 2
ENSG00000240038	280	AMY2B	amylase alpha 2B
ENSG00000153086	130013	ACMSD	aminocarboxymuconate semialdehyde decarboxylase
ENSG00000162461	284723	SLC25A34	solute carrier family 25 member 34
ENSG00000167178	57611	ISLR2	immunoglobulin superfamily containing leucine rich repeat 2
ENSG00000289355	101928334	LOC101928334	uncharacterized LOC101928334
ENSG00000177822	NA	NA	NA
ENSG00000087253	54947	LPCAT2	lysophosphatidylcholine acyltransferase 2
ENSG00000267280	103689912	TBX2-AS1	TBX2 antisense RNA 1
ENSG00000286863	NA	NA	NA
ENSG00000255122	NA	NA	NA
ENSG00000204815	83538	ODAD4	outer dynein arm docking complex subunit 4
ENSG00000276975	NA	NA	NA
ENSG00000170927	5314	PKHD1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
ENSG00000186458	400830	DEFB132	defensin beta 132
ENSG00000262155	283887	LINC02175	long intergenic non-protein coding RNA 2175
ENSG00000251595	79963	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene
ENSG00000156298	7102	TSPAN7	tetraspanin 7
ENSG00000186462	4674	NAP1L2	nucleosome assembly protein 1 like 2
ENSG00000256894	NA	NA	NA
ENSG00000120093	3213	HOXB3	homeobox B3
ENSG00000071991	28513	CDH19	cadherin 19
ENSG00000264705	NA	NA	NA
ENSG00000286810	NA	NA	NA
ENSG00000106633	2645	GCK	glucokinase
ENSG00000081818	56131	PCDHB4	protocadherin beta 4
ENSG00000163536	5274	SERPINI1	serpin family I member 1
ENSG00000280216	NA	NA	NA
ENSG00000067840	57595	PDZD4	PDZ domain containing 4
ENSG00000233907	440594	LINC01761	long intergenic non-protein coding RNA 1761
ENSG00000206417	NA	NA	NA
ENSG00000205791	503693	LOH12CR2	loss of heterozygosity on chromosome 12, region 2
ENSG00000175879	3234	HOXD8	homeobox D8
ENSG00000238103	6126	RPL9P7	ribosomal protein L9 pseudogene 7
ENSG00000275719	NA	NA	NA
ENSG00000284640	105378644	LOC105378644	uncharacterized LOC105378644
ENSG00000112761	8838	CCN6	cellular communication network factor 6
ENSG00000255471	NA	NA	NA
ENSG00000179930	127665	ZNF648	zinc finger protein 648
ENSG00000127241	5648	MASP1	MBL associated serine protease 1
ENSG00000254626	NA	NA	NA
ENSG00000249201	101928857	TERLR1	TERT regulating lncRNA 1
ENSG00000233926	101927502	TLE1-DT	TLE1 divergent transcript
ENSG00000105419	56917	MEIS3	Meis homeobox 3
ENSG00000143412	8416	ANXA9	annexin A9
ENSG00000136327	26257	NKX2-8	NK2 homeobox 8
ENSG00000259366	NA	NA	NA
ENSG00000188833	377841	ENTPD8	ectonucleoside triphosphate diphosphohydrolase 8
ENSG00000131409	94030	LRRC4B	leucine rich repeat containing 4B
ENSG00000267254	284408	ZNF790-AS1	ZNF790 antisense RNA 1
ENSG00000274422	NA	NA	NA
ENSG00000154265	23461	ABCA5	ATP binding cassette subfamily A member 5
ENSG00000165424	219654	ZCCHC24	zinc finger CCHC-type containing 24
ENSG00000186466	NA	NA	NA
ENSG00000198844	22899	ARHGEF15	Rho guanine nucleotide exchange factor 15
ENSG00000237984	11191	PTENP1	phosphatase and tensin homolog pseudogene 1
ENSG00000164061	8927	BSN	bassoon presynaptic cytomatrix protein
ENSG00000255920	103752584	CCND2-AS1	CCND2 antisense RNA 1
ENSG00000262179	101929726	MYMX	myomixer, myoblast fusion factor
ENSG00000259363	NA	NA	NA
ENSG00000143995	4211	MEIS1	Meis homeobox 1
ENSG00000223855	441307	PDGFA-DT	PDGFA divergent transcript
